,Unnamed: 0,X1,pros_page1,pros_page_rating_value,answer_re,answer_re_oth,answer_re_n
0,1,1,"Good vacation: 4 full weeks. If you are a diligent worker, should feel secure in your position. Commute is easy with BART. Name recognition within the industry, looks good on the resume. Company does sponsor CFA studies and test taking. Work hours are reasonable. Good place if your background is physics or financial analysis. If you are a researcher, it is a really good place.",3,"Good vacation: full weeks. If you are a diligent worker, should feel secure in your position. Commute is easy with BART. Name recognition within the industry, looks good on the resume. Company does sponsor CFA studies and test taking. Work hours are reasonable. Good place if your background is physics or financial analysis. If you are a researcher, it is a really good place.",good vacation full weeks if you are a diligent worker should feel secure in your position commute is easy with bart name recognition within the industry looks good on the resume company does sponsor cfa studies and test taking work hours are reasonable good place if your background is physics or financial analysis if you are a researcher it is a really good place ,"hours, place"
1,2,1,The cooperative environment with colleagues.,2,The cooperative environment with colleagues.,the cooperative environment with colleagues ,environment
2,3,1,"OK compensation, good benefits, 4 weeks paid vacation, flexibility with telecommuting if desired, consistent 9 to 5 schedule, no long hors outside of proxy season, relaxed work atmosphere.",3,"OK compensation, good benefits, weeks paid vacation, flexibility with telecommuting if desired, consistent to schedule, no long hors outside of proxy season, relaxed work atmosphere.",ok compensation good benefits weeks paid vacation flexibility with telecommuting if desired consistent to schedule no long hors outside of proxy season relaxed work atmosphere ,work
3,4,1,"The company offers a tremendous opportunity to learn about the investment management business, especially on the analytics side (the old Barra). If you're in an outward-facing role, you'll also get excellent access to money manager clients (i.e., future employers). On the day to day level, you get to work with smart people and do interesting work, often in a collegial atmosphere.",2,"The company offers a tremendous opportunity to learn about the investment management business, especially on the analytics side (the old Barra). If you're in an outward-facing role, you'll also get excellent access to money manager clients (i.e., future employers). On the day to day level, you get to work with smart people and do interesting work, often in a collegial atmosphere.",the company offers a tremendous opportunity to learn about the investment management business especially on the analytics side the old barra if you re in an outward facing role you ll also get excellent access to money manager clients i e future employers on the day to day level you get to work with smart people and do interesting work often in a collegial atmosphere ,"company, people, smart, management, work"
4,5,1,"RiskMetrics is a place where everyone's opinion is valued, and everyone has the opportunity to make a contribution. There is also the opportunity to learn new things and work on exciting and interesting technologies. And, everyone has the ability to define their own career path, such as it is.",5,"RiskMetrics is a place where everyone's opinion is valued, and everyone has the opportunity to make a contribution. There is also the opportunity to learn new things and work on exciting and interesting technologies. And, everyone has the ability to define their own career path, such as it is.",riskmetrics is a place where everyone s opinion is valued and everyone has the opportunity to make a contribution there is also the opportunity to learn new things and work on exciting and interesting technologies and everyone has the ability to define their own career path such as it is ,"work, place"
5,6,1,"Formerly Barra, this was once a place that had a grad school atmosphere and was a market leader of institutional analytics. The brainpower and product knowledge and support was unrivaled then, but a lack of leadership in management and inability to harness and support talent lead to a steady bleed of talented individuals to its competitors. However some talent remains, especially on the research side, where a few... from old Barra remain, so there is still some niche opportunity for learning. Its sunny downtown Berkeley location is ideal for commuters and the atmosphere remains somewhat relaxed. Consideration for work/life balance can vary greatly with your department and supervisor.",3,"Formerly Barra, this was once a place that had a grad school atmosphere and was a market leader of institutional analytics. The brainpower and product knowledge and support was unrivaled then, but a lack of leadership in management and inability to harness and support talent lead to a steady bleed of talented individuals to its competitors. However some talent remains, especially on the research side, where a few... from old Barra remain, so there is still some niche opportunity for learning. Its sunny downtown Berkeley location is ideal for commuters and the atmosphere remains somewhat relaxed. Consideration for work/life balance can vary greatly with your department and supervisor.",formerly barra this was once a place that had a grad school atmosphere and was a market leader of institutional analytics the brainpower and product knowledge and support was unrivaled then but a lack of leadership in management and inability to harness and support talent lead to a steady bleed of talented individuals to its competitors however some talent remains especially on the research side where a few from old barra remain so there is still some niche opportunity for learning its sunny downtown berkeley location is ideal for commuters and the atmosphere remains somewhat relaxed consideration for work life balance can vary greatly with your department and supervisor ,"balance, management, talented, place"
6,7,1,"good team, atmosphere, competent people",5,"good team, atmosphere, competent people",good team atmosphere competent people,people
7,8,1,"Everybody's opinion matters, new ways of thinking are strongly encouraged.",5,"Everybody's opinion matters, new ways of thinking are strongly encouraged.",everybody s opinion matters new ways of thinking are strongly encouraged ,
8,9,1,"They offer decent pay and good benefits for fairly easy work. The employees are generally young and friendly, and the Rockville office is easily accessible.",2,"They offer decent pay and good benefits for fairly easy work. The employees are generally young and friendly, and the Rockville office is easily accessible.",they offer decent pay and good benefits for fairly easy work the employees are generally young and friendly and the rockville office is easily accessible ,"pay, benefits"
9,10,1,Relatively relaxing atmosphere. Fairly flexible working hours.,2,Relatively relaxing atmosphere. Fairly flexible working hours.,relatively relaxing atmosphere fairly flexible working hours ,"flexible, working"
10,11,2,"Great colleagues Good opportunities for growth and career advancement Warm corporate culture High-level support for entrepreneurial initiatives, new ideas Good benefits package",3,"Great colleagues Good opportunities for growth and career advancement Warm corporate culture High-level support for entrepreneurial initiatives, new ideas Good benefits package",great colleagues good opportunities for growth and career advancement warm corporate culture high level support for entrepreneurial initiatives new ideas good benefits package,"culture, benefits"
11,12,2,Flexible times and work-life balance.,2,Flexible times and work-life balance.,flexible times and work life balance ,
12,13,2,Great work life balance. You can quickly get new responsibilities since teams are small and talent is appreciated.,3,Great work life balance. You can quickly get new responsibilities since teams are small and talent is appreciated.,great work life balance you can quickly get new responsibilities since teams are small and talent is appreciated ,work
13,14,2,Good for a very short-term early career move. Moving most support jobs to low-cost employment countries so no reason to stay.,2,Good for a very short-term early career move. Moving most support jobs to low-cost employment countries so no reason to stay.,good for a very short term early career move moving most support jobs to low cost employment countries so no reason to stay ,
14,15,2,"Great coworkers Flexible schedule Fun environment, very informal",5,"Great coworkers Flexible schedule Fun environment, very informal",great coworkers flexible schedule fun environment very informal,
