"","x"
"1","very technical environment, most others in the programming group in London are highly talented. Money is fairly good considering the job is safe and you're not actually in a bank. Some of the work can be interesting though that is very dependent on the group you are working in."
"2","Not bad as first job, especially if you dont know what else is avilable. Also good if Bloomberg name appears on CV. Others mention free food, but in London office they dont even have place to eat for employees: you are supposed to eat at your desk or eat out all the time. My salary at Bloomberg would not allow me to do much of the latter. It is good palce for someone who like to work non-stop, prefferably without... breaks, who can give 110% for the business and leave -10% for yourself and personal life. It is not me for sure."
"3","great benefits, free snacks, amazing building and office environment"
"4","Free food, good work-life balance. Regular office parties, lots of free booze :). Firm seems to spend money like crazy, at the slightest excuse. Pity that they dont cut down on unncessary parties and so on, and increase employee pay a bit more. Work culture is good, and mostly your superiors are really open and accessible to you, no matter how low down the rung you are."
"5","A well known name, but nothing else"
"6","Great building, competitive salary, excellent benefits package, multi-cultural environment.  If you are fresh from college, have no work experience, or would like to find someone to date, an excellent place to work!  Unlikely to get fired for any reason.  Free food.  Really high turnover, so you may get a sales job even if you were a programmer."
"7","Great benefits packages. They take care of you. It's a culture that prizes efficiency above all else. It's easy to get postings abroad. They're the dominant player in the financial data market."
"8","Compensation, relaxed work atmosphere--no dress code and semi flexible hours."
"9","Compared to other Computer Science job opportunities in New York City and elsewhere in the field, Bloomberg gives some pretty attractive packages; the benefits are great, the workplace is vibrant and most coworkers are competent."
"10","Drawing points for Bloomberg: great compensation/packages, intelligent co-workers, industry leader.  At work  you'll be working with some very intelligent people, some known widely throughout the industry.  It's also nice to work for a company that is the industry leader in financial data and news - it blows all competitors out of the window.  Depending on your personality, you may or may not like the fact that the... pace at Bloomberg is very fast.  Unlike traditional software companies, where time is spent on requirements gathering and design, Bloomberg emphasizes time to market and getting things out the door: software moves once a week, not once a year like other companies."
"11","Global opportunities, generous benefits, good work-life balance, limited downside in bad times (no layoffs), compensation structure and criteria are clear and transparent to all"
"12","competitive salaries
good work culture
openness
takes care of employees
great location in nyc
profitable business model"
"13","Bloomberg provides a solid benefits package for its employees.  It is one of the few companies that I have worked for that pays the entire cost of health insurance for its employees.  The company also provides 3 meals a day at ""no cost"" at its Princeton, NJ location.  If you are interested in state-of-the-art analytics for the financial markets, this is a great place to work."
"14","Compensation and benefits, resources and support."
"15","High pay, free food, beautiful building, great location, smart people."
"16","Pay is good and if you show up on time and write tidy programmers notes you'll never get fired."
"17","worldwide reach, chance to cover a variety of subjects. The pay is pretty good compared to other news organizations that you will work for. Your job is probably more secure at Bloomberg, because they are more immune to changes in the economy than other news organizaiton because they cater more to the financial community"
"18","The compensation at Bloomberg for entry level qualified positions is relatively high.  It is a well-known company and a very recognizable brand name."
"19","It is great for a first job as you are exposed to different fields of work and quickly learn how things work and get client exposure. For somebody who wants to start in finances you can learn a lot and then move on. Also the work enviroment is nice, the teams mostly work well together, you go out in the evenings and the athmosphere is friendly."
