,Advice.to.Sr..Management,Advice_to_management,sentiment,Polarity,Subjectivity,sentiment_txt
0,"Reward your staff and actually appreciate them, a couple of meetings to inform everyone wouldn't hurt. Updates on direction of where the business is going, higher pay","Reward your staff and actually appreciate them, a couple of meetings to inform everyone wouldn't hurt. Updates on direction of where the business is going, higher pay","Sentiment(polarity=0.125, subjectivity=0.3)",0.0,0.0,neu
1,Invest in IT,Invest in IT,"Sentiment(polarity=0.0, subjectivity=0.0)",0.18666666666666668,0.29333333333333333,pos
2,"Less middle management, more interaction directly with employees.  More transparency on career paths.","Less middle management, more interaction directly with employees.  More transparency on career paths.","Sentiment(polarity=0.18666666666666668, subjectivity=0.29333333333333333)",0.0,0.0,neu
3,Value production teams brtter,Value production teams brtter,"Sentiment(polarity=0.0, subjectivity=0.0)",-0.045,0.52,neg
4,Promote high achievers and grow the business so no more layoffs are needed,Promote high achievers and grow the business so no more layoffs are needed,"Sentiment(polarity=-0.045, subjectivity=0.52)",-0.375,0.625,neg
5,Get rid of the $50 award given to readers to spot mistakes. This gimmick results in scared reporting and weak writing.,Get rid of the $50 award given to readers to spot mistakes. This gimmick results in scared reporting and weak writing.,"Sentiment(polarity=-0.375, subjectivity=0.625)",0.10499999999999998,0.6627777777777777,pos
6,"Try to finish layoffs and turn the corner on expanding the business.  At this point, there is no reason for any ambitious or talented person to attempt to build a long-term career at the company as there is no loyalty (due to the integration) and lack of long term vision (not sure about the Kensho acquisition.)","Try to finish layoffs and turn the corner on expanding the business.  At this point, there is no reason for any ambitious or talented person to attempt to build a long-term career at the company as there is no loyalty (due to the integration) and lack of long term vision (not sure about the Kensho acquisition.)","Sentiment(polarity=0.10499999999999998, subjectivity=0.6627777777777777)",0.0,0.0,neu
7,Please look into what the management has been doing with their employees and train them on performance reviews,Please look into what the management has been doing with their employees and train them on performance reviews,"Sentiment(polarity=0.0, subjectivity=0.0)",-0.16666666666666666,0.43333333333333335,neg
8,SNL folks you were small time before and youre still small time with much bigger boots. Eventually youre going to drown.,SNL folks you were small time before and youre still small time with much bigger boots. Eventually youre going to drown.,"Sentiment(polarity=-0.16666666666666666, subjectivity=0.43333333333333335)",0.0,0.0,neu
9,Make decisions with conviction. Take into account how to manage org structure put in place.,Make decisions with conviction. Take into account how to manage org structure put in place.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.10714285714285714,0.5857142857142856,pos
10,"Establish working groups with junior employees, give them ownership of certain IT/marketing/operations/strategy problems, set a deadline, and give them a chance to use a different part of their brain beyond their day-to-day function.","Establish working groups with junior employees, give them ownership of certain IT/marketing/operations/strategy problems, set a deadline, and give them a chance to use a different part of their brain beyond their day-to-day function.","Sentiment(polarity=0.10714285714285714, subjectivity=0.5857142857142856)",0.13333333333333333,0.38125,pos
11,Work pressure is everywhere but paying attention to the concerns and issues of the employees is the need of the hour. Quick actions should be taken to regain the trust of employees. There is too much negative competition and colleagues are mostly non helping because they have also faced the same issue when they joined.,Work pressure is everywhere but paying attention to the concerns and issues of the employees is the need of the hour. Quick actions should be taken to regain the trust of employees. There is too much negative competition and colleagues are mostly non helping because they have also faced the same issue when they joined.,"Sentiment(polarity=0.13333333333333333, subjectivity=0.38125)",0.3333333333333333,0.6333333333333334,pos
12,I've got about nothing here. Management isn't listening. Good people are losing their careers. The products are secretly failing with the transition to all out-sourced IT teams. Nothing good.,I've got about nothing here. Management isn't listening. Good people are losing their careers. The products are secretly failing with the transition to all out-sourced IT teams. Nothing good.,"Sentiment(polarity=0.3333333333333333, subjectivity=0.6333333333333334)",0.31666666666666665,0.5166666666666667,pos
13,"Look to the people you still have left there and allow for true honest feedback.  And look for ways to keep the valuable resources you have in the company, instead of letting those resources go.","Look to the people you still have left there and allow for true honest feedback.  And look for ways to keep the valuable resources you have in the company, instead of letting those resources go.","Sentiment(polarity=0.31666666666666665, subjectivity=0.5166666666666667)",0.5,0.5,pos
14,Value your employee a bit more and dont treat them like their an expendable resource... even if they are to you...,Value your employee a bit more and dont treat them like their an expendable resource... even if they are to you...,"Sentiment(polarity=0.5, subjectivity=0.5)",0.0,0.0,neu
15,Nothing...,Nothing...,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,neu
16,Stop making org changes all the time,Stop making org changes all the time,"Sentiment(polarity=0.0, subjectivity=0.0)",0.18958333333333333,0.34791666666666665,pos
17,Less dictating of decisions out of NYC...ask the other successful offices about strategies for success.,Less dictating of decisions out of NYC...ask the other successful offices about strategies for success.,"Sentiment(polarity=0.18958333333333333, subjectivity=0.34791666666666665)",-0.075,0.325,neg
18,Do the company and it's shareholders a favor and exit the building immediately and don't look back before the only thing left is your oversized and undeserved compensation packages.,Do the company and it's shareholders a favor and exit the building immediately and don't look back before the only thing left is your oversized and undeserved compensation packages.,"Sentiment(polarity=-0.075, subjectivity=0.325)",0.20545454545454547,0.3290909090909091,pos
19,The addition of few strategic resources would generate a positive ROI as this would allow the commercial team more bandwidth to act more strategically.,The addition of few strategic resources would generate a positive ROI as this would allow the commercial team more bandwidth to act more strategically.,"Sentiment(polarity=0.20545454545454547, subjectivity=0.3290909090909091)",0.25,0.5,pos
20,"Focus on developing the people on this team, and open up more opportunities for them","Focus on developing the people on this team, and open up more opportunities for them","Sentiment(polarity=0.25, subjectivity=0.5)",0.0,1.0,neu
21,"Provide weekly feedback, especially when asked.","Provide weekly feedback, especially when asked.","Sentiment(polarity=0.0, subjectivity=1.0)",0.0,0.0,neu
22,"At a minimum, act like the people that work for you are humans.","At a minimum, act like the people that work for you are humans.","Sentiment(polarity=0.0, subjectivity=0.0)",0.3,0.45,pos
23,Be honest about outsourcing and try to stanch the administrative and American employment outflow.,Be honest about outsourcing and try to stanch the administrative and American employment outflow.,"Sentiment(polarity=0.3, subjectivity=0.45)",0.0,0.0,neu
24,"Stop experimenting with the S&P Ratings money, and these 3rd party attempts at a platform.","Stop experimenting with the S&P Ratings money, and these 3rd party attempts at a platform.","Sentiment(polarity=0.0, subjectivity=0.0)",0.875,0.6000000000000001,pos
25,Keep up the good work!,Keep up the good work!,"Sentiment(polarity=0.875, subjectivity=0.6000000000000001)",0.37499999999999994,0.675,pos
26,Keep doing what your doing. Setting expectations and then keeping a hands of approach is a great motivator. Nice to see that I am expected to be responsible,Keep doing what your doing. Setting expectations and then keeping a hands of approach is a great motivator. Nice to see that I am expected to be responsible,"Sentiment(polarity=0.37499999999999994, subjectivity=0.675)",1.0,1.0,pos
27,Awesome job.,Awesome job.,"Sentiment(polarity=1.0, subjectivity=1.0)",0.3,0.1,pos
28,pay people what they are worth,pay people what they are worth,"Sentiment(polarity=0.3, subjectivity=0.1)",0.0,0.05,neu
29,"Take a look at the companies they are investing in for day to day functions, it seems the changes are because they are a friend of a friend and not for the wellbeing of the company.  Clients are starting to notice and will eventually go elsewhere.  It's time to take back the keys!","Take a look at the companies they are investing in for day to day functions, it seems the changes are because they are a friend of a friend and not for the wellbeing of the company.  Clients are starting to notice and will eventually go elsewhere.  It's time to take back the keys!","Sentiment(polarity=0.0, subjectivity=0.05)",0.06818181818181818,0.2772727272727273,pos
30,Understand that non-SNL folks actually understood business as well as new SNL team.,Understand that non-SNL folks actually understood business as well as new SNL team.,"Sentiment(polarity=0.06818181818181818, subjectivity=0.2772727272727273)",0.0,0.0,neu
31,Continue making S&P a one stop shop.,Continue making S&P a one stop shop.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5,0.5,pos
32,"Engage more with employees, even contracted employees","Engage more with employees, even contracted employees","Sentiment(polarity=0.5, subjectivity=0.5)",0.1,0.1,pos
33,Need professional management,Need professional management,"Sentiment(polarity=0.1, subjectivity=0.1)",0.14999999999999997,0.625,pos
34,"Acquiring and retaining top talent in all locations
Give engineers the tools and accountability as well as remove the restrictions 
Good engineers do not need guidelines and procedures to get the job done
Planning of company wide milestones needs the involvement of all  stakeholders else you will end up with unrealistic timelines","Acquiring and retaining top talent in all locations
Give engineers the tools and accountability as well as remove the restrictions 
Good engineers do not need guidelines and procedures to get the job done
Planning of company wide milestones needs the involvement of all  stakeholders else you will end up with unrealistic timelines","Sentiment(polarity=0.14999999999999997, subjectivity=0.625)",0.2857142857142857,0.5357142857142857,pos
35,Focus on getting things done right.,Focus on getting things done right.,"Sentiment(polarity=0.2857142857142857, subjectivity=0.5357142857142857)",0.39999999999999997,0.3666666666666667,pos
36,Listen more to mid level managers. They had a good sense of what was happening on an operational level.,Listen more to mid level managers. They had a good sense of what was happening on an operational level.,"Sentiment(polarity=0.39999999999999997, subjectivity=0.3666666666666667)",0.0,0.0,neu
37,"If you want to demonstrate value to clients, don't fire the experts.","If you want to demonstrate value to clients, don't fire the experts.","Sentiment(polarity=0.0, subjectivity=0.0)",-0.1461904761904762,0.7180952380952381,neg
38,Don't believe what recruiters tell you about unlimited sick days and flex work hours as promised by recruiters no work/life balance be ready to work on weekends. Long work hours and unrealistic deadlines. Your benefits wont start till after a month if your lucky it took me almost 2 months to get everything setup and I was working in HR.,Don't believe what recruiters tell you about unlimited sick days and flex work hours as promised by recruiters no work/life balance be ready to work on weekends. Long work hours and unrealistic deadlines. Your benefits wont start till after a month if your lucky it took me almost 2 months to get everything setup and I was working in HR.,"Sentiment(polarity=-0.1461904761904762, subjectivity=0.7180952380952381)",0.22500000000000003,0.4,pos
39,Pick a leader from the industry who actually has run a huge organization and actually try to retain top employees instead of just using the statement as lip service.  Actions and your message often diverge.,Pick a leader from the industry who actually has run a huge organization and actually try to retain top employees instead of just using the statement as lip service.  Actions and your message often diverge.,"Sentiment(polarity=0.22500000000000003, subjectivity=0.4)",0.1,0.48,pos
40,Have ALL management take motivation training. My current manager is a massive bully who has threatened to fire people during meetings if they say something he doesn't like. He has also said on numerous occasions to several people that things they are working on better go well as their job depends on it.,Have ALL management take motivation training. My current manager is a massive bully who has threatened to fire people during meetings if they say something he doesn't like. He has also said on numerous occasions to several people that things they are working on better go well as their job depends on it.,"Sentiment(polarity=0.1, subjectivity=0.48)",0.0,0.0,neu
41,,nan,"Sentiment(polarity=0.0, subjectivity=0.0)",0.5666666666666667,0.6333333333333333,pos
42,Provide better opportunities for the most talented employees or keep loosing them,Provide better opportunities for the most talented employees or keep loosing them,"Sentiment(polarity=0.5666666666666667, subjectivity=0.6333333333333333)",0.625,0.275,pos
43,people are the most valuable asset...we create financial and market info tech tools... give people a reason to want to build the best tools and you will have the best product in our space.,people are the most valuable asset...we create financial and market info tech tools... give people a reason to want to build the best tools and you will have the best product in our space.,"Sentiment(polarity=0.625, subjectivity=0.275)",0.5,0.5,pos
44,Increase bonuses for top performers,Increase bonuses for top performers,"Sentiment(polarity=0.5, subjectivity=0.5)",0.3,0.3,pos
45,Focus more on people's professional development,Focus more on people's professional development,"Sentiment(polarity=0.3, subjectivity=0.3)",-0.019270833333333334,0.525,neg
46,"Pay for performance is doing 10 times bad for 70% employees, than it's helping little to 30, slowly affecting we're one team atmosphere too. Please think about it at corporate level. Earlier performance appraisal of team + individual + company used to help everybody keep motivated. Not all teams would have challenges all cycles , that also used to balance spikes easily.

Please try to address CIQ teams integration concerns on biased decisions, put honest efforts.","Pay for performance is doing 10 times bad for 70% employees, than it's helping little to 30, slowly affecting we're one team atmosphere too. Please think about it at corporate level. Earlier performance appraisal of team + individual + company used to help everybody keep motivated. Not all teams would have challenges all cycles , that also used to balance spikes easily.

Please try to address CIQ teams integration concerns on biased decisions, put honest efforts.","Sentiment(polarity=-0.019270833333333334, subjectivity=0.525)",-0.07592592592592594,0.48148148148148145,neg
47,"There's a feeling of instability among the rank and file.   While keeping headcount down is good for the bottom line in the near term, getting too low has a negative impact.","There's a feeling of instability among the rank and file.   While keeping headcount down is good for the bottom line in the near term, getting too low has a negative impact.","Sentiment(polarity=-0.07592592592592594, subjectivity=0.48148148148148145)",0.0,0.0,neu
48,Some advice to management would include - Management needs to take training classes to understand how to manage employees and help with career development.,Some advice to management would include - Management needs to take training classes to understand how to manage employees and help with career development.,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.3333333333333333,neu
49,"I wish there was something at this point that could be done, but the constant reorging and lack of stability are irreconcilable.","I wish there was something at this point that could be done, but the constant reorging and lack of stability are irreconcilable.","Sentiment(polarity=0.0, subjectivity=0.3333333333333333)",0.13200000000000003,0.3213333333333333,pos
50,Learn what talent retention means. Your best talent is leaving or wants to leave badly while the overpaid contributing next to nothing are protected by senior managers in an environment that resembles a Hollywood high school movie. Anyone can box subpar products and slap a guarantee on it. Just ask Tommy Boy. Some of you also have a thing or two to learn about professionalism.,Learn what talent retention means. Your best talent is leaving or wants to leave badly while the overpaid contributing next to nothing are protected by senior managers in an environment that resembles a Hollywood high school movie. Anyone can box subpar products and slap a guarantee on it. Just ask Tommy Boy. Some of you also have a thing or two to learn about professionalism.,"Sentiment(polarity=0.13200000000000003, subjectivity=0.3213333333333333)",0.3333333333333333,0.3333333333333333,pos
51,Show more compassion to your employees. Come up with a better way to measure performance; a way that's not subjective. Come up with a standard way to deal with situations.,Show more compassion to your employees. Come up with a better way to measure performance; a way that's not subjective. Come up with a standard way to deal with situations.,"Sentiment(polarity=0.3333333333333333, subjectivity=0.3333333333333333)",0.25,0.475,pos
