answer_re,answer_re_n
Relaxed environment with interesting tech.,environment
Good perks Chilled environment Great product stiff learning curve,environment
"Competitive pay (although they're whittling it down fast), decent health care, (k), free snacks and coffee.","snacks, health, free, pay"
#NAME?,place
"Free food, free pass for NYC museums",free
its still the leader in financial information.,
"Good opportunities for lateral and horizontal move, good hiring, great people, great perks",great
Great Benfits - % Paid Medical - Philanthropy - Dollars for Hours match for volunteer work,work
#NAME?,"work, company, people"
"Nice co workers, smart staff and fun holiday events",smart
Large budget Above-market salaries Global office presence,
Fair compensation. Amazing office and mostly amazing colleagues. Solid work/life balance.,
"Growth opportunities, learning is encouraged and there are a lot of courses available Amazing office and people to work with Volunteering opportunities","work, people"
"No pros whatsoever in this awful, awful place.",
"Entrepreneurial spirit, Flexibility to chart your own career in different areas of the business, mobility between different geographies",
great job stable free snacks,"snacks, free, great"
Great colleagues to work with.,work
#NAME?,"benefits, balance"
"Excellent work life balance, pleasant work culture","work, culture"
Opportunities for education,
Opportunities for education,
Free food Business travelling Good benefits,"benefits, food"
Ambiente de trabalho Produtos disponíveis Benefícios e salários em carreira inicial Fácil mudança para carreira internacional,
Great company with a well diversified team. Plenty of opportunity to work and travel nationally and internationally.,"work, company"
Flexible work arrangement is available. Not compulsory to work overtime. Great retirement benefit.,work
Company really knows how to take care of the employees. Great atmosphere,
Medical Care Aquariums Equipment Located in NYC A building full of really smart people,"smart, people"
"Great office, smart colleagues, growth opportunities, good benefits, volunteering opportunities, travel opportunities",smart
"The analytics training program provides employees with an excellent foundation in market concepts. I found their Fixed Income training the best a recent
 grad can acquire. Additionally, there are excellent exit opportunities from what I've heard from past employees.",
"Kitchen has snacks, very upmarket office",
Amazing environment and people to work with,"environment, work, people"
"great culture, great mix of people with exciting compensation & benefits","great, benefits, people, compensation"
"Large organization with a global presence, benefits and snacks are generous.","snacks, benefits"
"Great culture, people and benefits","benefits, people"
"Salary, Diversity, Challenges, Internationality, yearly Summer Picnic",
"Great product, evolving in the marketplace",
"Mentor culture, down to earth work ethics, work life balance, superior health package","work, health"
good benefits and insurance fair salary learning opportunity,"insurance, benefits, salary"
"Great people, excellent work culture","work, culture"
good location and free coffee,free
Lots of resources to use day to day,
"Great benefits and employee compensation package, tuition reimbursement, free food all day, work/life balance, good team lead, challenging work if you know how to navigate around it. Your experience is up to you.","benefits, compensation, work, food, free"
"Awesome culture, good people, free snacks","snacks, free"
"Second to none benefits, culture, and snacks!",
"É uma empresa enorme, com uma quantidade excelente de benefícios, pantry, bom plano de sáude, salário compatível e etc.",
"Ótimos benefícios, ambiente leve e descontraído.",
"Open, collaborative, allows internal mobility, excellent benefits, excellent culture",culture
Great opportunities within the company Possibility to learn constantly thanks to good trainings Good corporate culture Incredible offices,"company, culture"
You learn a lot with trainings,
"good culture, great company, fantastic benefits","great, benefits"
"good culture, great company, fantastic benefits","great, benefits"
"Good culture, good senior management, transparency, flat hierarchies",senior
"Team collaboration, environment and product",environment
"Great benefits, offers many opportunities for self development, management invests in subordinates",management
Exciting and interesting projects to tackle.,
"free culture, pantry, nice people","free, people"
"Great compensation, some amazing people. Bloomberg access.",
Medical Benefits Lateral movement Free Food Good Working Environment Encourages collaboration,
Good location Good medical health insure,health
Good culture Fast paced Change is a part of daily life,"culture, paced"
+ great work life balance + company/managers take good care of you + hard-to-get-fired environment + lots to learn as a fresher straight out of college; but run after a couple years! + great training programs and resources,"environment, work, great, balance"
"Great company to work for. Good pay, great benefit, good reputation.","great, work, company"
Learn a lot if interested to do so,
"Colleagues, atmosphere, team, work load",work
"Good perks, health care, dental care, subsidised gym membership, good salary and yearly reviews.","health, salary"
Free soup; competitive benefits; cool offices,
"Bloomberg is good for flexible working, staff welfare and general practices.",flexible
"Flexible program, breakfast, pantry snacks.",
Easier for junior sales to get early career exposure.,
"many perks, good working environment","environment, working"
good work life balance and smart people,"smart, work, people, balance"
"Great culture, quality of life",
